site_id,timestamp,level_m,flow_lps,pressure_bar,pump_status,source_system
PS001,2026-01-01 00:00:00,1.45,31.16,3.14,AUTO,synthetic_scada
PS001,2026-01-01 00:15:00,1.67,39.59,2.44,AUTO,synthetic_scada
PS001,2026-01-01 00:30:00,1.44,29.96,2.35,AUTO,synthetic_scada
PS001,2026-01-01 00:45:00,1.38,38.27,2.48,AUTO,synthetic_scada
PS001,2026-01-01 01:00:00,1.36,33.99,2.05,AUTO,synthetic_scada
PS001,2026-01-01 01:15:00,1.23,27.46,2.82,AUTO,synthetic_scada
PS001,2026-01-01 01:30:00,1.31,22.27,2.58,AUTO,synthetic_scada
PS001,2026-01-01 01:45:00,1.27,30.21,2.65,AUTO,synthetic_scada
PS001,2026-01-01 02:00:00,1.15,37.61,2.33,AUTO,synthetic_scada
PS001,2026-01-01 02:15:00,1.54,31.44,2.93,AUTO,synthetic_scada
PS001,2026-01-01 02:30:00,1.51,28.23,2.62,AUTO,synthetic_scada
PS001,2026-01-01 02:45:00,1.86,33.02,2.43,AUTO,synthetic_scada
PS001,2026-01-01 03:00:00,2.16,28.88,2.33,ON,synthetic_scada
PS001,2026-01-01 03:15:00,2.31,27.57,2.35,ON,synthetic_scada
PS001,2026-01-01 03:30:00,2.82,31.19,2.42,ON,synthetic_scada
PS001,2026-01-01 03:45:00,1.38,22.9,2.62,AUTO,synthetic_scada
PS001,2026-01-01 04:00:00,1.61,37.8,2.32,AUTO,synthetic_scada
PS001,2026-01-01 04:15:00,1.44,37.67,2.14,AUTO,synthetic_scada
PS001,2026-01-01 04:30:00,1.11,35.52,1.99,AUTO,synthetic_scada
PS001,2026-01-01 04:45:00,1.44,33.2,2.57,AUTO,synthetic_scada
PS001,2026-01-01 05:00:00,1.15,42.28,2.47,AUTO,synthetic_scada
PS001,2026-01-01 05:15:00,1.43,34.07,2.58,AUTO,synthetic_scada
PS001,2026-01-01 05:30:00,1.38,33.69,2.53,AUTO,synthetic_scada
PS001,2026-01-01 05:45:00,1.26,37.32,2.44,AUTO,synthetic_scada
PS001,2026-01-01 06:00:00,1.08,28.18,2.26,AUTO,synthetic_scada
PS001,2026-01-01 06:15:00,1.33,31.15,2.61,AUTO,synthetic_scada
PS001,2026-01-01 06:30:00,1.3,33.02,3.32,AUTO,synthetic_scada
PS001,2026-01-01 06:45:00,1.8,34.82,2.64,AUTO,synthetic_scada
PS001,2026-01-01 07:00:00,1.48,23.06,2.51,AUTO,synthetic_scada
PS001,2026-01-01 07:15:00,1.35,30.97,2.52,AUTO,synthetic_scada
